road_number,road_name,hierarchy,route_num,distinct_names
05320,"Port Wakefield Road Ramp From Nuriootpa Ramp",,,1
05330,"Northern Expressway",,M2,1
05340,"Northern Expressway",,M2,1
05400,"Bridge Road",Sub-arterial,,2
05402,"Elder Smith Road",Sub-arterial,,1
05403,"Kings Road",Arterial,A18,1
05404,"Nelson Road",Sub-arterial,,1
05405,"Mcintyre Road",Arterial,A18,1
05406,"Salisbury Highway",Arterial,A9,1
05407,"Dry Creek Ramp From Wingfield",Highway,A9,1
05408,"Dry Creek Ramp To Salisbury",Highway,,1
05409,"Montague Road",Sub-arterial,,1
05410,"Dry Creek Ramp From Salisbury",Highway,,1
05411,"Dry Creek Ramp To Wingfield",Highway,A9,1
05412,"Walkleys Road",Sub-arterial,,1
05415,"Diagonal Road",Sub-arterial,,1
05417,"Churchill Road North",Sub-arterial,,1
05418,"Cavan Road",Arterial,A22,1
05419,"Cormack Road",Sub-arterial,,1
05420,"Kapara Road",Sub-arterial,,2
05421,"Eastern Parade",Sub-arterial,,1
05422,"Francis Street",Sub-arterial,,1
05423,"Gillman Ramp To Salisbury",Sub-arterial,,1
05424,"Port River Expressway",,A9,2
05425,"Gillman Ramp From Salisbury",Sub-arterial,,1
05426,"Francis Street",Sub-arterial,,1
05427,"Ocean Steamers Road",Sub-arterial,,1
05430,"St Vincent Street",Sub-arterial,,2
05432,"Perkins Drive",Sub-arterial,,1
05440,"Wingfield Ramp From Salisbury",Highway,,1
05441,"Wingfield Ramp To Port Adelaide",Arterial,,1
05600,"Fosters Road",Sub-arterial,,1
05603,"Hampstead Road",Arterial,A17,1
05606,"Muller Road",Sub-arterial,,1
05609,"O G Road",Sub-arterial,,1
05610,"Main North Road",Sub-arterial,A1,5
05612,"Regency Road",Sub-arterial,,1
05615,"Northcote Terrace",Arterial,A10,1
05616,"Melbourne Street",Sub-arterial,,3
05618,"Nottage Terrace",Sub-arterial,,1
05624,"Park Terrace",Arterial,R1,2
05627,"Prospect Road",Sub-arterial,,1
05630,"Morphett Street",Sub-arterial,,7
05631,"Morphett Street Access To North Terrace",Sub-arterial,,1
05632,"Morphett Street Access From North Terrace",Sub-arterial,,1
05633,"Churchill Road",Arterial,A22,1
05636,"Days Road",Sub-arterial,,1
05639,"Torrens Road",Sub-arterial,A22,1
05642,"David Terrace",Sub-arterial,,2
05644,"Hanson Road",Sub-arterial,,1
05645,"Hanson Road",Sub-arterial,,1
05648,"Port Road",Arterial,A7,2
05651,"Woodville Road",Sub-arterial,,1
05654,"Addison Road",Sub-arterial,,4
05674,"Hanson Ramp From Salisbury",Sub-arterial,,1
05675,"Hanson Ramp To Port Adelaide",Sub-arterial,,1
05800,"Victoria Road",Arterial,A16,2
05803,"Lady Gowrie Drive",Sub-arterial,,2
05806,"Strathfield Terrace",Sub-arterial,,1
05809,"Fletcher Road",Sub-arterial,,1
05812,"Woolnough Road",Sub-arterial,,1
05815,"Semaphore Road",Arterial,A16,1
05818,"Causeway Road",Arterial,A16,1
05821,"Hart Street",Sub-arterial,,2
05824,"Old Port Road",Sub-arterial,A16,2
05827,"Military Road",Sub-arterial,,1
05830,"Frederick Road",Sub-arterial,,1
05833,"Tapleys Hill Road",Arterial,A15,1
05836,"West Lakes Boulevard",Sub-arterial,,1
05842,"Trimmer Parade",Sub-arterial,,1
05845,"Findon Road",Sub-arterial,,2
05848,"Crittenden Road",Sub-arterial,,1
05851,"Grange Road",Sub-arterial,A14,2
05854,"East Avenue",Arterial,A14,1
05857,"Adam Street",Sub-arterial,R1,1
05860,"Holbrooks Road",Arterial,A14,1
05863,"Seaview Road",Sub-arterial,,1
05865,"Nelson Street",Sub-arterial,A16,1
06000,"Gorge Road",Arterial,B31,1
06002,"Corkscrew Road",Sub-arterial,,1
06003,"Marble Hill Road",Sub-arterial,,1
06006,"Stradbroke Road",Sub-arterial,,1
06009,"Montacute Road",Sub-arterial,,1
06012,"Darley Road",Sub-arterial,,5
06015,"Glynburn Road",Sub-arterial,,1
06018,"Magill Road",Sub-arterial,B27,1
06021,"Lobethal Road",Sub-arterial,B27,5
06024,"Kensington Road",Sub-arterial,,1
06027,"The Parade",Sub-arterial,,1
06030,"Hallett Road",Sub-arterial,,1
06033,"Portrush Road",Arterial,A17,4
06039,"Greenhill Road",Sub-arterial,B26,1
06122,"Waymouth Street",Sub-arterial,,1
06140,"Stephen Terrace",Sub-arterial,,3
06143,"Hackney Road",Arterial,R1,6
06146,"Fullarton Road",Arterial,R1,1
06149,"Rundle Road",Sub-arterial,,2
06150,"East Terrace",Sub-arterial,,3
06152,"Frome Road",Sub-arterial,,2
06155,"North Terrace",Sub-arterial,,2
